Latitude   Longitude
 -16.190     5.625
 -18.095     5.625
 -20.000     5.625
 -21.904     5.625
 -23.809     5.625
 -25.714     5.625
 -27.619     5.625
 -29.523     5.625
 -31.428     5.625
 -33.333     5.625
 -35.237     5.625
 -37.142     5.625
 -39.047     5.625
 -40.952     5.625
 -42.856     5.625
 -44.761     5.625
 -46.666     5.625
 -48.571     5.625
 -50.475     5.625
 -52.380     5.625
 -54.285     5.625
 -56.189     5.625
 -58.094     5.625
 -59.999     5.625
 -61.903     5.625
 -63.808     5.625
 -65.713     5.625
 -67.617     5.625
 -69.522     5.625
 -71.426     5.625
 -73.331     5.625
 -75.235     5.625
 -77.139     5.625
 -79.043     5.625
 -80.947     5.625
 -82.851     5.625
 -84.753     5.625
 -86.653     5.625
 -88.542     5.625
  88.542     7.500
  86.653     7.500
  84.753     7.500
  82.851     7.500
  80.947     7.500
  79.043     7.500
  77.139     7.500
  75.235     7.500
  73.331     7.500
  71.426     7.500
  69.522     7.500
  67.617     7.500
  65.713     7.500
  63.808     7.500
  61.903     7.500
  59.999     7.500
  58.094     7.500
  56.189     7.500
  54.285     7.500
  52.380     7.500
  50.475     7.500
  48.571     7.500
  46.666     7.500
  44.761     7.500
  42.856     7.500
  40.952     7.500
  39.047     7.500
  37.142     7.500
  35.237     7.500
  33.333     7.500
  31.428     7.500
  29.523     7.500
  27.619     7.500
  25.714     7.500
  23.809     7.500
  21.904     7.500
  20.000     7.500
  18.095     7.500
  16.190     7.500
  14.286     7.500
  12.381     7.500
  10.476     7.500
   8.571     7.500
   6.667     7.500
   4.762     7.500
   2.857     7.500
   0.952     7.500
  -0.952     7.500
  -2.857     7.500
  -4.762     7.500
  -6.667     7.500
  -8.571     7.500
 -10.476     7.500
 -12.381     7.500
 -14.286     7.500
 -16.190     7.500
 -18.095     7.500
 -20.000     7.500
 -21.904     7.500
 -23.809     7.500
 -25.714     7.500
 -27.619     7.500
 -29.523     7.500
 -31.428     7.500
 -33.333     7.500
 -35.237     7.500
 -37.142     7.500
 -39.047     7.500
 -40.952     7.500
 -42.856     7.500
 -44.761     7.500
 -46.666     7.500
